location_id,sensor_id,location_name,datetime_utc,datetime_local,parameter,parameter_display,units,value,coordinates_latitude,coordinates_longitude,country_code,country_name,is_mobile,is_monitor,value_num,outlier_rule,lower_bound,upper_bound
13,13864,"Delhi Technological University, Delhi - CPCB",2018-02-22T04:00:00Z,2018-02-22T09:30:00+05:30,,,,451.0,28.744,77.12,,,,,451.0,IQR,-197.72500000000002,354.475
17,392,"R K Puram, Delhi - DPCC",2018-02-21T20:45:00Z,2018-02-22T02:15:00+05:30,,,,4300.0,28.563262,77.186937,,,,,4300.0,IQR,-197.72500000000002,354.475
235,382,"Anand Vihar, New Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,469.0,28.646835,77.316032,,,,,469.0,IQR,-197.72500000000002,354.475
235,381,"Anand Vihar, New Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,670.0,28.646835,77.316032,,,,,670.0,IQR,-197.72500000000002,354.475
235,385,"Anand Vihar, New Delhi - DPCC",2016-03-21T14:45:00Z,2016-03-21T20:15:00+05:30,,,,1300.0,28.646835,77.316032,,,,,1300.0,IQR,-197.72500000000002,354.475
236,386,"Mandir Marg, Delhi - DPCC",2018-02-21T16:45:00Z,2018-02-21T22:15:00+05:30,,,,7500.0,28.6341,77.2005,,,,,7500.0,IQR,-197.72500000000002,354.475
286,564,Collectorate - Gaya - BSPCB,2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,680.0,24.7489694,84.9438395,,,,,680.0,IQR,-197.72500000000002,354.475
346,614,"MD University, Rohtak - HSPCB",2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,910.0,28.876028,76.619464,,,,,910.0,IQR,-197.72500000000002,354.475
354,604,"Lalbagh, DN Park",2018-02-22T04:00:00Z,2018-02-22T09:30:00+05:30,,,,1190.0,26.84578611,80.93874444,,,,,1190.0,IQR,-197.72500000000002,354.475
378,661,Alandur Bus Depot,2017-10-11T08:45:00Z,2017-10-11T14:15:00+05:30,,,,5300.0,12.99711389,80.19151667,,,,,5300.0,IQR,-197.72500000000002,354.475
407,710,"Zoo Park, Hyderabad - TSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,920.0,17.349694,78.451437,,,,,920.0,IQR,-197.72500000000002,354.475
412,722,"Peenya, Bengaluru - KSPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,970.0,13.0339,77.51321111,,,,,970.0,IQR,-197.72500000000002,354.475
431,5361,"IHBAS, Delhi - CPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,2500.0,28.6821,77.305,,,,,2500.0,IQR,-197.72500000000002,354.475
594,1048,"BTM Layout, Bengaluru - KSPCB",2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,910.0,12.912811110000002,77.60921944,,,,,910.0,IQR,-197.72500000000002,354.475
697,1207,"Haldia, Haldia - WBPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,810.0,22.06047,88.109737,,,,,810.0,IQR,-197.72500000000002,354.475
